,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
278,0.2,0.01,96,1,96-0,55,Bernoulli,LeastSqs-Prop,0.02863503187024354
279,0.2,0.01,96,1,96-0,55,Bernoulli,LeastSqs-Num,0.008882940762658264
280,0.2,0.01,96,1,96-0,56,Bernoulli,Graph-Aware,-0.37826127203779053
281,0.2,0.01,96,1,96-0,56,Bernoulli,Diff-Means-Stnd,-0.002160449898094125
282,0.2,0.01,96,1,96-0,56,Bernoulli,Diff-Means-Frac-0.75,-1.1011879214216242
283,0.2,0.01,96,1,96-0,56,Bernoulli,LeastSqs-Prop,-0.0022730382140571668
284,0.2,0.01,96,1,96-0,56,Bernoulli,LeastSqs-Num,-0.004203281181594081
285,0.2,0.01,96,1,96-0,57,Bernoulli,Graph-Aware,-0.06185078795091428
286,0.2,0.01,96,1,96-0,57,Bernoulli,Diff-Means-Stnd,0.00753839806076378
287,0.2,0.01,96,1,96-0,57,Bernoulli,Diff-Means-Frac-0.75,0.27487129438285374
