,p,ratio,n,beta,Graph,rep,Rand,Estimator,Bias
277,0.2,2,256,2,16-0,55,Bernoulli,Diff-Means-Frac-0.75,-1.1094368028572246
278,0.2,2,256,2,16-0,55,Bernoulli,LeastSqs-Prop,-0.8128705039871336
279,0.2,2,256,2,16-0,55,Bernoulli,LeastSqs-Num,1.1324893754157335
280,0.2,2,256,2,16-0,56,Bernoulli,Graph-Aware,0.3839880240241142
281,0.2,2,256,2,16-0,56,Bernoulli,Diff-Means-Stnd,-0.6760326951704694
282,0.2,2,256,2,16-0,56,Bernoulli,Diff-Means-Frac-0.75,-1.1279506787598732
283,0.2,2,256,2,16-0,56,Bernoulli,LeastSqs-Prop,-0.9026803681263188
284,0.2,2,256,2,16-0,56,Bernoulli,LeastSqs-Num,0.8267921703470433
285,0.2,2,256,2,16-0,57,Bernoulli,Graph-Aware,-1.654139793732246
286,0.2,2,256,2,16-0,57,Bernoulli,Diff-Means-Stnd,-0.686660931594967
287,0.2,2,256,2,16-0,57,Bernoulli,Diff-Means-Frac-0.75,-1.139696503929868
288,0.2,2,256,2,16-0,57,Bernoulli,LeastSqs-Prop,-1.0647569181169056
289,0.2,2,256,2,16-0,57,Bernoulli,LeastSqs-Num,1.5685703093681767
290,0.2,2,256,2,16-0,58,Bernoulli,Graph-Aware,-1.0114211891495382
291,0.2,2,256,2,16-0,58,Bernoulli,Diff-Means-Stnd,-0.6653116244564864
292,0.2,2,256,2,16-0,58,Bernoulli,Diff-Means-Frac-0.75,-1.1333004986633357
293,0.2,2,256,2,16-0,58,Bernoulli,LeastSqs-Prop,-1.0641037025035252
294,0.2,2,256,2,16-0,58,Bernoulli,LeastSqs-Num,0.923254933326837
295,0.2,2,256,2,16-0,59,Bernoulli,Graph-Aware,-0.1531819284833964
296,0.2,2,256,2,16-0,59,Bernoulli,Diff-Means-Stnd,-0.6790860907225609
297,0.2,2,256,2,16-0,59,Bernoulli,Diff-Means-Frac-0.75,-1.1328165457109092
298,0.2,2,256,2,16-0,59,Bernoulli,LeastSqs-Prop,-0.7394269985031053
299,0.2,2,256,2,16-0,59,Bernoulli,LeastSqs-Num,1.4770579021710089
300,0.2,2,256,2,16-0,60,Bernoulli,Graph-Aware,-2.713293701355397
